"uid","phyto_mean_biovol","phyto_se_biovol","phyto_total_density","zoo_mean_biomass","zoo_total_density","temp_mean","phos_total_mean","nitrate_mean","silicate_mean","site_id"
6160,98.4746011487679,1104.24923071416,2768.1311,5.23665268168355,68.7404,20.5,26.8,0.0573,6.19,"NLA12_CA-143"
6187,41.2695776640606,194.484549618955,16345.1446,0.0664729162260959,82.7525,21.5266666666667,40,0.002,18.154,"NLA12_AZ-101"
6189,193.827671817497,1597.02408091045,10652.6447,0.07667387045976,6723.1248,16.5166666666667,70,0,4.127,"NLA12_ND-115"
6192,218.495679071688,696.213413508696,176.837,0.0702698411798393,35.2726,NA,38,0.116,19.485,"NLA12_AZ-118"
6194,1026.9704235016,4051.43854528018,2484.2055,0.0841602293244248,2036.4512,11.9333333333333,23,0.002,6.728,"NLA12_UT-103"
6195,65.3778081985462,1063.09344760318,30001.5067,0.0438277273359541,173.2579,21.9,57,0.001,28.106,"NLA12_AZ-130"
6212,55.8205140161823,565.844126470056,69185.5728,0.597201301494467,387.3086,26.6975,147,0.192,10.845,"NLA12_FL-101"
6216,267.353638410718,914.609113750352,5568.3708,0.0831566157370221,886.3011,12.538,15,0,3.62,"NLA12_UT-101"
6217,50.5190773208483,1569.33250648861,76318.6855,3.19288709007722,125.9597,14.3666666666667,147,0.079,22.439,"NLA12_ND-112"
6218,2.17893825835223,74.3826629913227,396087.0188,0.174248115566544,393.0757,NA,7,0.002,1.84,"NLA12_FL-123"
6222,40.2081704550693,1426.80725702799,580776.3631,0.0260985399105987,1612.504,26.75375,43,0.019,1.545,"NLA12_FL-102"
6226,1041.06173299332,3900.60772200764,1439.0846,0.0151765139419473,1148.4192,24.3133333333333,32,0.019,9.679,"NLA12_GA-112"
6227,716.341027969041,3334.23924546581,10941.419,3.05613118825621,407.1462,14.4433333333333,80,0.019,24.141,"NLA12_UT-108"
6228,29.7705763691072,90.9959186513587,13665.4236,0.239099454158799,325.5892,26.7333333333333,9,0.019,0.134,"NLA12_FL-107"
6231,26.3769393461883,209.266093934405,76629.3885,0.0646765814319153,518.7751,27.94,23,0.02,0.723,"NLA12_FL-110"
6232,197.252748263191,1125.99924186952,1544.3117,0.263645244240982,451.6482,26.6,46,0.031,1.952,"NLA12_FL-106"
6233,32.4813681676609,810.031689631386,315980.1217,0.0664777847790815,369.6137,27.5333333333333,25,0.019,0.541,"NLA12_FL-104"
6235,606.993177141541,42511.1369504173,60981.7575,0.0805221806549786,658.7452,20.7666666666667,434,0.152,12.6,"NLA12_CA-168"
6236,249.732954537309,2346.99912756895,26435.8987,0.484343146620585,321.0511,22,67,0.05,3.34,"NLA12_OK-122"
6237,30.8080275967348,538.715587833009,41927.9457,0.0837248981464369,2611.7643,21.25,36,0.019,0.314,"NLA12_WI-R11"
6243,141.277092883756,467.779750941543,15105.1999,0.0616077593429952,431.4489,23.1,46,0.024,2.058,"NLA12_KS-114"
6249,154.689880136349,2583.06044426954,43298.7563,0.595997268603868,331.6985,23.7,28,0.019,1.73,"NLA12_OK-R01"
6250,25.3072276900066,2488.33443076324,1933820.4222,4.42293146533352,70.1499,25.38,591,0.0104,8.48,"NLA12_CA-106"
6251,23.924512618594,389.678094913478,58857.3695,0.650608964714393,230.3007,27.7666666666667,20,0.019,0.026,"NLA12_FL-114"
6252,165.798062561726,5459.15750422891,108742.8502,2.5258335420613,1714.3526,21.0666666666667,83,0.81,1.35,"NLA12_PA-102"
6253,32.6464254818242,103.868064942407,10658.7848,0.0246564644904501,3549.1382,20.3,24,0.019,5.441,"NLA12_WI-R08"
6267,302.347062230884,33683.7062201895,237228.7448,0.0476778378651626,2540.0229,26.475,106,0.02,1.574,"NLA12_AL-105"
6270,354.157713912644,2917.72435640967,3474.7911,2.7243380414735,757.978,22.4,190,0.25,2.22,"NLA12_OK-118"
6279,72.1278165148122,242.952979885645,1229.4006,2.48860873320265,179.9317,22.9666666666667,14.8,0.0407,6.86,"NLA12_CA-172"
6281,516.752831397736,4759.7961983362,1197.2532,0.980020842186901,145.1863,16.1,147,0.019,5.556,"NLA12_AZ-127"
6284,80.027484472992,466.784469149262,4515.0038,0.289215601147082,86.3757,23.5333333333333,16,0.02,5.914,"NLA12_KY-101"
