"uid","phyto_mean_biovol","phyto_se_biovol","phyto_total_density","zoo_mean_biomass","zoo_se_biomass","zoo_total_density","temp_mean","phos_total_mean","nitrate_mean","silicate_mean","site_id"
6160,1250.55916140216,6150.56539754976,2165.49112683613,5.23665268168355,10.604604990266,68.7404,20.5,26.8,0.0573,6.19,"NLA12_CA-143"
6187,115.639071882388,314.741025478013,13034.5671075,0.0664729162260959,0.100045244763467,82.7525,21.5266666666667,40,0.002,18.154,"NLA12_AZ-101"
6189,280.099592421025,7460.22713761198,18357.6750021505,0.07667387045976,0.192549201091469,6723.1248,16.5166666666667,70,0,4.127,"NLA12_ND-115"
6192,951.897291516301,7675.97304515002,876.54395,0.0702698411798393,0.0279885748522916,35.2726,NA,38,0.116,19.485,"NLA12_AZ-118"
6194,2273.90856478428,9712.72730972706,2750.673775,0.0841602293244248,0.698652237265434,2036.4512,11.9333333333333,23,0.002,6.728,"NLA12_UT-103"
6195,87.3221636518875,1089.92682712639,29065.744079798,0.0438277273359541,0.161518231037503,173.2579,21.9,57,0.001,28.106,"NLA12_AZ-130"
6212,58.4554042998856,575.886640036796,67944.0619010101,0.597201301494467,1.29167726727056,387.3086,26.6975,147,0.192,10.845,"NLA12_FL-101"
6216,341.261877586937,881.763419128046,5851.5863,0.0831566157370221,0.0841754735540858,886.3011,12.538,15,0,3.62,"NLA12_UT-101"
6217,355.310301341224,25969.4082966064,77009.4552564703,3.19288709007722,9.77810350461881,125.9597,14.3666666666667,147,0.079,22.439,"NLA12_ND-112"
6218,4.81764563890864,74.4340516888016,396060.906844167,0.174248115566544,0.275816056684563,393.0757,NA,7,0.002,1.84,"NLA12_FL-123"
6222,52.9328494108041,1614.13937026211,506228.50394165,0.0260985399105987,0.11824138170268,1612.504,26.75375,43,0.019,1.545,"NLA12_FL-102"
6226,1082.80889547049,3672.91800288524,1535.9997,0.0151765139419473,0.0328227646812223,1148.4192,24.3133333333333,32,0.019,9.679,"NLA12_GA-112"
6227,786.348394987476,3305.15653960655,10890.8091,3.05613118825621,14.3818259904286,407.1462,14.4433333333333,80,0.019,24.141,"NLA12_UT-108"
6228,170.088392993469,416.160377554326,12193.2702137978,0.239099454158799,0.176833817386706,325.5892,26.7333333333333,9,0.019,0.134,"NLA12_FL-107"
6231,544.04428542105,3393.15252962333,8786.59114818274,0.0646765814319153,0.0407222563895752,518.7751,27.94,23,0.02,0.723,"NLA12_FL-110"
6232,2283.46785789002,6025.12212394002,141.473396651401,0.263645244240982,1.3820141535831,451.6482,26.6,46,0.031,1.952,"NLA12_FL-106"
6233,239.44734354295,1552.78753893602,54011.8109052239,0.0664777847790815,0.193198697923843,369.6137,27.5333333333333,25,0.019,0.541,"NLA12_FL-104"
6235,1802.83511432088,68192.6530450729,48555.8862005388,0.0805221806549786,0.348506570576823,658.7452,20.7666666666667,434,0.152,12.6,"NLA12_CA-168"
6236,385.021557395443,2375.22763235287,26602.8427,0.484343146620585,1.98354710133484,321.0511,22,67,0.05,3.34,"NLA12_OK-122"
6237,171.135197551196,1926.28376568087,35130.0638864865,0.0837248981464369,0.287924766290694,2611.7643,21.25,36,0.019,0.314,"NLA12_WI-R11"
6243,474.108522994957,2710.10071170086,16387.5044235023,0.0616077593429952,0.129583902050382,431.4489,23.1,46,0.024,2.058,"NLA12_KS-114"
6249,218.724090891813,2846.81079594093,40917.5382460578,0.595997268603868,1.15918108618233,331.6985,23.7,28,0.019,1.73,"NLA12_OK-R01"
6250,33.8774667693554,2758.31723044277,1721013.78025525,4.42293146533352,5.04596211850365,70.1499,25.38,591,0.0104,8.48,"NLA12_CA-106"
6251,301.427289509435,3227.78394634851,5850.46580510356,0.650608964714393,2.30522172137176,230.3007,27.7666666666667,20,0.019,0.026,"NLA12_FL-114"
6252,272.86580006904,5477.34853859025,77372.8737692969,2.5258335420613,19.1952984769738,1714.3526,21.0666666666667,83,0.81,1.35,"NLA12_PA-102"
6253,65.1451517744753,119.570866973411,10251.85862199,0.0260763389641577,0.110739276586633,3355.8852,20.3,24,0.019,5.441,"NLA12_WI-R08"
6267,9206.63246039864,156706.169803614,7893.35189271294,0.0476778378651626,0.0954872363215304,2540.0229,26.475,106,0.02,1.574,"NLA12_AL-105"
6270,375.007851458773,2910.43897334184,3488.6638,2.7243380414735,22.4948740249344,757.978,22.4,190,0.25,2.22,"NLA12_OK-118"
6279,107.95555522611,227.848845797024,1198.18948111635,2.48860873320265,9.04841793890319,179.9317,22.9666666666667,14.8,0.0407,6.86,"NLA12_CA-172"
6281,2849.36176518917,25530.6805229027,1157.52518009275,0.980020842186901,3.22490201880758,145.1863,16.1,147,0.019,5.556,"NLA12_AZ-127"
