"uid","phyto_mean_biovol","phyto_se_biovol","phyto_total_density","zoo_mean_biomass","zoo_total_density","temp_mean","phos_total_mean","nitrate_mean","silicate_mean","site_id"
6160,958.870094003853,4778.83631501186,2824.2353,5.23665268168355,68.7404,18.2444444444444,26.8,0.0573,6.19,"NLA12_CA-143"
6187,91.5296328083521,251.290229853101,16467.9481,0.0664729162260959,82.7525,18.3119230769231,40,0.002,18.154,"NLA12_AZ-101"
6189,270.83495223508,7298.25021426287,18985.6488,0.07667387045976,6723.1248,15.047,70,0,4.127,"NLA12_ND-115"
6192,948.354259690093,7674.78348228033,879.8187,0.0702698411798393,35.2726,24.8,38,0.116,19.485,"NLA12_AZ-118"
6194,2265.99129759994,9686.6010038998,2760.2845,0.0841602293244248,2036.4512,7.63793103448276,23,0.002,6.728,"NLA12_UT-103"
6195,84.2159050496638,1062.55724028695,30137.8185,0.0438277273359541,173.2579,19.7642857142857,57,0.001,28.106,"NLA12_AZ-130"
6212,57.2144768666347,564.019183385536,69417.7038,0.597201301494467,387.3086,26.916,147,0.192,10.845,"NLA12_FL-101"
6216,341.261877586937,881.763419128046,5851.5863,0.0831566157370221,886.3011,12.54,15,0,3.62,"NLA12_UT-101"
6217,317.592419240193,23271.8020099693,86155.2452,3.19288709007722,125.9597,14.3325,147,0.079,22.439,"NLA12_ND-112"
6218,4.81656722144042,74.9809713755398,396149.5839,0.174248115566544,393.0757,NA,7,0.002,1.84,"NLA12_FL-123"
6222,46.0707394763027,1425.38474547293,581629.8473,0.0260985399105987,1612.504,26.8442857142857,43,0.019,1.545,"NLA12_FL-102"
6226,1081.40686808916,3668.30095637759,1537.9911,0.0151765139419473,1148.4192,23.1142857142857,32,0.019,9.679,"NLA12_GA-112"
6227,771.843040675224,3293.75910685384,11095.4816,3.05613118825621,407.1462,14.4566666666667,80,0.019,24.141,"NLA12_UT-108"
6228,149.992363886332,368.1774370629,13826.9288,0.239099454158799,325.5892,26.8625,9,0.019,0.134,"NLA12_FL-107"
6231,61.787888033243,432.938390365717,77366.2097,0.0646765814319153,518.7751,28.2142857142857,23,0.02,0.723,"NLA12_FL-110"
6232,205.010151827475,1107.36481233537,1575.7754,0.263645244240982,451.6482,26.7714285714286,46,0.031,1.952,"NLA12_FL-106"
6233,40.9039447564791,809.95187206544,316179.3983,0.0664777847790815,369.6137,25.4,25,0.019,0.541,"NLA12_FL-104"
6235,1256.88893234963,50927.8025830291,69646.7718,0.0805221806549786,658.7452,19.668,434,0.152,12.6,"NLA12_CA-168"
6236,385.021557395443,2375.22763235287,26602.8427,0.484343146620585,321.0511,22.175,67,0.05,3.34,"NLA12_OK-122"
6237,142.311309477422,1623.0412956941,42245.3454,0.0837248981464369,2611.7643,21.275,36,0.019,0.314,"NLA12_WI-R11"
6243,463.614724953403,2653.23606880201,16758.4313,0.0616077593429952,431.4489,22.55,46,0.024,2.058,"NLA12_KS-114"
6249,200.583800364215,2617.26093486591,44618.0167,0.595997268603868,331.6985,20.6,28,0.019,1.73,"NLA12_OK-R01"
